individual,litter_id,sex,year,field_bdate,grid,growth,survived_200d,owner,Std.BD,Std.growth,Std.lynx,Std.hare.fall,Std.mustelid,Std.Cleth,z.density,z.cones,z.temp
4628,1083,M,1993,1993-04-15,KL,1.642857143,0,acquired territory,-1.056522651,-0.197855905,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4630,1214,M,1993,1993-04-30,SU,1.944444444,0,acquired territory,-0.485923756,0.038993184,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4632,1114,M,1993,1993-05-01,KL,2.153846154,0,not yet acquired territory,-0.619491565,0.333771828,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4674,1094,M,1993,1993-04-21,KL,1.5625,0,acquired territory,-0.892635994,-0.281458653,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
4686,1219,M,1993,1993-05-18,SU,1.958333333,0,acquired territory,-0.069417679,0.067403869,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4690,1035,M,1992,1992-06-19,SU,1.419354839,1,not yet acquired territory,0.701731814,0.365490196,-0.548024159,-1.027672363,-0.69117009,1.156519109,0.130378678,0.241050095,-0.179293566
4692,1196,M,1993,1993-04-08,SU,1.411764706,0,acquired territory,-0.994986739,-1.05064016,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
4696,852,M,1991,1991-04-15,SU,2.727272727,1,acquired territory,-1.703886511,2.494463485,0.524112344,-0.307409141,-0.827311683,0.063949979,-0.346866408,-1.324467666,0.783018482
4698,836,F,1991,1991-05-06,SU,2.047619048,1,acquired territory,0.587358957,0.208843707,0.524112344,-0.307409141,-0.827311683,0.063949979,-0.346866408,-1.324467666,0.783018482
4748,1212,M,1993,1993-04-06,SU,1.75,1,acquired territory,-1.041265192,-0.358756411,-0.996451824,-0.956266957,-0.840794304,0.246044834,-0.474131764,1.013816571,0.466524742
